Organization,Name of Event,Event Link,All Dates,Event Start Time,Event End Time,Street 1,Street 2,Street 3,Borough
Westchester Square BID,Circle the Square Movie Nights,http://www.wsbid.org/2018-events,"5/12, 7/21, 8/11, 9/15, 10/13",6:00pm,9:00pm,Lane Avenue,Overing St,East Tremont Avenue,Bronx
Southern Blvd BID,Southern BLVD Presents South Bronx Culture Trail Festival,https://www.facebook.com/events/461573607597385/,"6/2, 10/7",12:00pm,6:00pm,Southern Blvd,E 163rd St,Westchester Ave,Bronx
Belmont Business Improvement District,Belmont BID Health Fair,http://www.bronxlittleitaly.com/events/picture-a-healthier-you-health-fair/,3-Jun,11:00am ,3:00pm,Crescent Avenue,Arthur Avenue,East 187th Street ,Bronx
ASPIRA of New York,Spotlight on ASPIRA ,http://www.aspira.org ,9-Jun,10:00am,4:00pm,Story Ave,Bolton Ave,White Plains Rd,Bronx
Third Avenue Business Improvement District,Para Roberto Weekend Walks - Family Day,https://thirdavenuebid.org/bid-events-2/,"6/10, 7/22, 8/19",11:00am ,4:30pm,Willis Ave,E 148th St,E 147th,Bronx
Belmont Business Improvement District ,Belmont BID Summer Concert Series,http://www.bronxlittleitaly.com/events/summer-concert-series/ ,"7/6, 7/13, 7/20, 7/27, 8/4, 8/11, 8/18, 8/25, 10/8",12:00pm,3:00pm,Hughes Ave ,Crescent Ave ,E 187th St,Bronx
Women’s Housing and Economic Development Corporation (WHEDco) ,Bronx Music @ Melrose Weekend Walk ,http://whedco.org/bronx-music/,13-Jul,2:00pm,6:00pm,East 161st Street ,Elton Avenue,Melrose Ave,Bronx
Jerome Gun Hill Business Improvement District,Summer Chill on Gun Hill Weekend Walk,http://www.jeromegunhillbid.org/news-events,14-Jul,12:00pm,5:00pm,E Gun Hill Road,Bainbridge Ave,Putnam Place,Bronx
Jerome Gun Hill Business Improvement District,Summer Chill on Gun Hill Weekend Walk,http://www.jeromegunhillbid.org/news-events,28-Jul,12:00pm,5:00pm,E Gun Hill Road,Perry Ave,Webster Ave,Bronx
Bronx Museum of the Arts,Boogie on the Boulevard,https://www.eventbrite.com/e/boogie-on-the-boulevard-tickets-46204104721,26-Aug,2:00pm,6:00pm,Grand Concourse,E 162nd St,E 170th St,Bronx
East 204th Street & Bainbridge Ave,8th Annual East 204th Street and Bainbridge Ave. Fall Festival,,"9/29, 10/6",9:00am,9:00am ,East 204th Street,Bainbridge Ave,Decatur Ave,Bronx
Atlantic Avenue BID,Design Walk Brooklyn Weekend Walks,http://www.atlanticavebid.org/events/,13-May,11:00am ,6:00pm,Bond St,State Street,Pacific Street,Brooklyn
